RM#,Location,Lot #,Product Name,Nature of Product,# of boxes,Packages / Box,Units / Package,Units,Total (un),Label grams,Total (g),Total (KG),THC %,Réservé Retail | Réservé Wholesale
115,B2,431,Cherry Noir,Large Flower,51,1000,1,1584,"52,584",1.00,"52,583.60",52.584,22.72%,Retail
115,B2,431,Cherry Noir,RND|Popcorn/Shake,,,,43,43,1.00,43.20,0.043,22.72%,
115,B2,246261H,Cherry Noir/Mandarin,Hash 2.0,2,24,1,,48,2.00,96.00,0.096,,
115,B2,PR386393,Medellin/Purple Chitral,Defect|Prérouler 0.35,,,,15,15,0.35,5.25,0.005,,
115,B2,PR386393,Medellin/Purple Chitral,Prérouler 0.35,,,,7,7,0.35,2.45,0.002,,
115,B2,PR386393,Medellin/Purple Chitral,RND|Prérouler 0.35,,,,14,14,0.35,4.90,0.005,,
115,B2,PR386393,Medellin/Purple Chitral,Shred,,,,2430,"2,430",1.00,"2,430.00",2.430,,Retail
115,B2,SSW23V2,Sweet N Sour,Defect|Prérouler 0.6,,,,190,190,0.60,114.00,0.114,,
115,B2,SSW23V2,Sweet N Sour,RND|Prérouler 0.6,,,,1,1,0.60,0.60,0.001,,
115,B2,SSW23V2,Sweet N Sour,Shred,,,,1306,"1,306",1.00,"1,306.00",1.306,,Retail
115,B2,431,Cherry Noir,Popcorn/Shake,,,,2699,"2,699",1.00,"2,699.10",2.699,22.72%,Wholesale
115,C1,269,Blue Chem,Popcorn,,,,7133,"7,133",1.00,"7,133.40",7.133,27.25%,Wholesale
115,C1,269,Blue Chem,RND,,,,126,126,1.00,126.30,0.126,27.25%,
115,C1,269PR,Blue Chem,Prérouler 0.35,,,,18334,"18,334",0.35,"6,416.90",6.417,,
115,C1,274PR,Blue Chem,Prérouler 0.35,,,,14152,"14,152",0.35,"4,953.20",4.953,,
115,C1,403,Medellin,RND|Popcorn/Shake,,,,65,65,1.00,64.50,0.065,29.78%,
115,C1,388H,Medellin,Hash 3.0,12,24,1,,288,3.00,864.00,0.864,,
115,C1,96332,Slurricane #7,Pouches 28.0,27,12,1,,324,28.00,"9,072.00",9.072,,
115,C1,403,Medellin,Popcorn/Shake,,,,4125,"4,125",1.00,"4,125.30",4.125,29.78%,Wholesale
115,C2,400,Gas Paradise,Large Flower,18,1000,1,2418,"20,418",1.00,"20,417.60",20.418,26.34%,Retail
