RM#,Location,Lot #,Product Name,Nature of Product,# of boxes,Packages / Box,Units / Package,Units,Total (un),Label grams,Total (g),Total (KG)
115,C2,AF2402,Apple Fritter,Popcorn/Shake,,,,518,518,1,518.4,0.518
115,C2,AF2402,Apple Fritter,Shake,,,,516,516,1,515.7,0.516
115,C2,AF2402,Apple Fritter,RND,,,,12,12,1,11.8,0.012
115,C2,AF2402,Apple Fritter,Bud Rot,,,,4109,"4,109",1,"4,108.70",4.109
115,D1,203,Sage N Sour,Popcorn/Shake,,,,996,996,1,995.9,0.996
115,D1,207,Sage N Sour,Popcorn,,,,795,795,1,794.9,0.795
115,D1,207,Sage N Sour,Shake,,,,412,412,1,411.6,0.412
115,D1,209,Sage N Sour,Popcorn,,,,1194,"1,194",1,"1,194.40",1.194
115,D1,209,Sage N Sour,Shake,,,,472,472,1,471.5,0.472
115,D1,245,Sage N Sour,Large Flower,,,,1861,"1,861",1,"1,860.80",1.861
115,D1,245,Sage N Sour,Popcorn/Shake,,,,7306,"7,306",1,"7,306.30",7.306
115,D1,245,Sage N Sour,RND,,,,4,4,1,4.3,0.004
115,D1,249,Sage N Sour,Popcorn/Shake,,,,9296,"9,296",1,"9,296.00",9.296
115,D1,249,Sage N Sour,RND,,,,78,78,1,78,0.078
115,D1,372,Sage N Sour,Popcorn/Shake,,,,13385,"13,385",1,"13,385.00",13.385
115,D1,384,Sage N Sour,Popcorn/Shake,,,,22646,"22,646",1,"22,646.40",22.646
115,D1,384,Sage N Sour,RND,,,,129,129,1,128.66,0.129
115,D1,387,Sage N Sour,Popcorn/Shake,,,,19230,"19,230",1,"19,230.00",19.23
115,D1,387,Sage N Sour,RND,,,,189,189,1,189,0.189
115,D1,395,Chemdawg,Popcorn/Shake,,,,5574,"5,574",1,"5,574.00",5.574
115,D1,395,Sage N Sour,Popcorn/Shake,,,,28266,"28,266",1,"28,266.00",28.266
115,D1,399,Sage N Sour,Popcorn/Shake,,,,13127,"13,127",1,"13,126.90",13.127
115,D1,399,Sage N Sour,RND,,,,207,207,1,206.7,0.207
115,D1,401,Chemdawg,Popcorn/Shake,,,,15848,"15,848",1,"15,848.10",15.848
115,D1,401,Chemdawg,RND,,,,154,154,1,154.1,0.154
115,D2,98,Mandarin,Prérouler 0.6,1,5,3,,15,0.6,9,0.009
115,D2,110,Mandarin,Popcorn,,,,731,731,1,731.1,0.731
115,D2,110,Mandarin,Shake,,,,176,176,1,176.1,0.176
115,D2,115,Mandarin,Popcorn,,,,121,121,1,121.1,0.121
115,D2,115,Mandarin,Shake,,,,1909,"1,909",1,"1,909.10",1.909
115,D2,179,Mandarin,Prérouler 0.6,1,7,3,,21,0.6,12.6,0.013
115,D2,185,Mandarin,Prérouler 0.6,1,2,3,,6,0.6,3.6,0.004
115,D2,185,Mandarin,Prérouler 0.6,,,,1328,"1,328",0.6,796.8,0.797
115,D2,185,Mandarin,Prérouler 0.6,1,1,144,,144,0.6,86.4,0.086
115,D2,185,Mandarin,Shred,,,,404,404,1,404,0.404
115,D2,233,Mandarin,Popcorn/Shake,,,,5739,"5,739",1,"5,738.50",5.739
115,D2,246,Mandarin,Popcorn/Shake,,,,10516,"10,516",1,"10,516.00",10.516
115,D2,250,Blue Chemo,RND|Jars 3.5,1,27,1,,27,3.5,94.5,0.095
115,D2,303,Sage N Sour,RND|Shred,,,,577,577,1,577,0.577
115,D2,208B,Mandarin,Large Flower,,,,9199,"9,199",1,"9,199.40",9.199
115,D2,208B,Mandarin,Popcorn/Shake,,,,3076,"3,076",1,"3,076.30",3.076
115,D2,208B,Mandarin,Popcorn,,,,3117,"3,117",1,"3,117.00",3.117
115,D2,208B,Mandarin,Shake,,,,1477,"1,477",1,"1,477.00",1.477
115,D2,AF2401,Apple Fritter,Bud Rot,,,,2876,"2,876",1,"2,876.00",2.876
115,D2,MIXED,Sage N Sour,RND|Shake,,,,1459,"1,459",1,"1,459.43",1.459
115,E1,159185H,Cherry Noir/Mandarin,Hash 1.0,1,15,1,,15,1,15,0.015
115,E1,159185H,Cherry Noir/Mandarin,Hash 1.0,1,23,1,,23,1,23,0.023
115,E1,159185H,Cherry Noir/Mandarin,RND|Hash,,,,3,3,1,3.2,0.003
115,E1,176208H,Cherry Noir/Mandarin,Hash 1.0,1,2,1,,2,1,2,0.002
115,E1,98,Mandarin,Jars 3.5,1,217,1,,217,3.5,759.5,0.76
115,E1,115,Mandarin,Jars 3.5,1,26,1,,26,3.5,91,0.091
115,E1,179,Mandarin,Jars 3.5,1,27,1,,27,3.5,94.5,0.095
115,E1,185,Mandarin,Jars 3.5,1,80,1,,80,3.5,280,0.28
115,E1,176208H,Cherry Noir/Mandarin,Hash 1.0,1,23,1,,23,1,23,0.023
115,E1,176208H,Cherry Noir/Mandarin,RND|Hash,,,,19,19,1,18.9,0.019
115,E1,179201H,Cherry Noir/Mandarin,RND|Hash,,,,54,30,1,30,0.03
115,E1,179201H,Cherry Noir/Mandarin,Hash 2.0,1,2,1,,2,2,4,0.004
115,E1,185201H,Cherry Noir/Mandarin,Hash 2.0,1,6,1,,6,2,12,0.012
115,E1,185201H,Cherry Noir/Mandarin,RND|Hash,,,,21,21,1,21.3,0.021
115,E1,208210H,Cherry Noir/Mandarin,Hash 2.0,1,120,1,,120,2,240,0.24
115,E1,208210H,Cherry Noir/Mandarin,Hash 2.0,1,10,1,,10,2,20,0.02
